protein,protein_name,panel,SNP,AF_OR,AF_LCI95,AF_UCI95,AF_P,AF_FDR,HF_OR,HF_LCI95,HF_UCI95,HF_P,HF_FDR,direction,shared_rule
FGF5,Fibroblast growth factor 5,Inflammation,rs12509595,1.0628884,1.0411235,1.0851083,7.5693691e-09,3.70142e-06,1.0293035,1.0044669,1.0547541,0.02046851,0.441689,same_risk,AF_FDR+HF_nominal
LPA,Apolipoprotein(a),Inflammation_II,rs56393506,1.0347384,1.0097401,1.0603555,0.0062032059,0.216669,1.0797214,1.0495757,1.1107329,1.1017337e-07,2.25855e-05,same_risk,HF_FDR+AF_nominal
