protein,protein_name,panel,SNP,analysis_group,beta_protein_to_af,se_protein_to_af,or_protein_to_af,p_protein_to_af,fdr_protein_to_af,beta_af_to_hf,se_af_to_hf,or_af_to_hf,p_af_to_hf,beta_total_protein_to_hf,se_total_protein_to_hf,or_total_protein_to_hf,p_total_protein_to_hf,fdr_total_protein_to_hf,beta_indirect,se_indirect,or_indirect,or_indirect_lci95,or_indirect_uci95,p_indirect,beta_direct,se_direct,or_direct,or_direct_lci95,or_direct_uci95,proportion_mediated,same_direction_indirect_total,interpretation
FGF5,Fibroblast growth factor 5,Inflammation,rs12509595,FGF5/LPA shared candidate,0.060990092,0.010555977,1.0628884,7.5693691e-09,3.70142e-06,0.2353126406831023,0.013191452075433655,1.2653042924995992,3.5658625949967565e-71,0.028882327,0.012461918,1.0293035,0.02046851,0.441689,0.014351739604025351,0.0026110015025453555,1.0144552202687485,1.0092769432049085,1.0196600654153434,3.87092182872379e-08,0.014530587395974648,0.012732506787157748,1.0146366695703446,0.9896290273699488,1.0402762477296978,0.4969038541813252,True,AF-mediated pathway supported
LPA,Apolipoprotein(a),Inflammation_II,rs56393506,FGF5/LPA shared candidate,0.034148609,0.012477377,1.0347384,0.0062032059,0.216669,0.2353126406831023,0.013191452075433655,1.2653042924995992,3.5658625949967565e-71,0.076703031,0.014447489,1.0797214,1.1017337e-07,2.25855e-05,0.008035599359444754,0.002970440263167376,1.0080679714395715,1.002215988124058,1.0139541247435215,0.006826574213729945,0.06866743164055525,0.014749693344682353,1.0710799426107926,1.0405589624702425,1.1024961437453829,0.10476247489417666,True,AF-mediated pathway supported
