protein,protein_name,AF_OR,AF_P,AF_FDR,HF_OR,HF_P,HF_FDR,direction,meets_shared_candidate_rule
CXCL17,C-X-C motif chemokine 17,1.3117458,0.0087171855,0.28418,1.2929714,0.032858925,0.457404,same_risk,FALSE
FGF5,Fibroblast growth factor 5,1.0628884,7.5693691e-09,3.70142e-06,1.0293035,0.02046851,0.441689,same_risk,TRUE
HEG1,Protein HEG homolog 1,1.1507686,0.024448945,0.490015,1.1667216,0.035728841,0.457404,same_risk,FALSE
HRG,Histidine-rich glycoprotein,1.0309925,0.031167345,0.564475,1.0357338,0.036149832,0.457404,same_risk,FALSE
LPA,Apolipoprotein(a),1.0347384,0.0062032059,0.216669,1.0797214,1.1017337e-07,2.25855e-05,same_risk,TRUE
ZBP1,Z-DNA-binding protein 1,0.94823118,0.048674876,0.570142,0.92687321,0.019336311,0.441689,same_protective,FALSE
