combination,count,proteins
HF_nominal,32,ACHE;ADA;ADAMTS4;ALDH3A1;APOE;ASGR2;BLNK;BTD;CD160;CD58;CFHR4;CLEC4G;COL5A1;CTSO;ENPP7;F2R;FABP9;FST;HCLS1;INHBB;ITGAL;ITIH1;KLRD1;NAGPA;SCG3;SELPLG;SERPINF2;SMOC2;STX8;TLR1;TNFSF13;TPSAB1
AF_nominal,27,ADAM12;AFAP1;APCS;ATP5IF1;C7;CD244;CD36;CKMT1A_CKMT1B;CLEC4D;ENAH;ERBB3;FGL1;FOLH1;GIMAP7;HMCN2;IDO1;LRG1;MVK;MXRA8;PRKG1;SAMD9L;SELL;SERPINC1;SMPDL3A;ST13;TLR3;WNT9A
AF_nominal+AF_FDR,4,NFATC1;PKLR;SPON1;TNFSF12
AF_nominal+HF_nominal,4,CXCL17;HEG1;HRG;ZBP1
HF_nominal+HF_FDR,3,ABO;APOA2;CELSR2
AF_nominal+AF_FDR+HF_nominal,1,FGF5
AF_nominal+HF_nominal+HF_FDR,1,LPA
