protein,protein_name,outcome_id,outcome_name,region,lead_rsid,pqtl_region_rows,harmonised_overlap_snps,PP.H0,PP.H1,PP.H2,PP.H3,PP.H4,lead_shared_rsid,lead_shared_variant_id,lead_shared_snp_pp_h4,lead_pqtl_log10p,lead_outcome_p,input_file
FGF5,Fibroblast growth factor 5,AF,Atrial fibrillation,chr4:79261400-81261400 (GRCh38),rs12509595,10846,9454,0,1.5798e-05,0,0.0132,0.9868,rs12509595,4:81182554:T:C:imp:v1,1,1648.52,9.197e-09,D:\Backup\Documents\New project 2\cardio_no_lab_paper_project\data\coloc_inputs\FGF5_AF_coloc_input_harmonised.csv
FGF5,Fibroblast growth factor 5,HF,Heart failure,chr4:79261400-81261400 (GRCh38),rs12509595,10846,4724,0,0.8774,0,0.0682,0.0544,rs12509595,4:81182554:T:C:imp:v1,1,1648.52,0.02108,D:\Backup\Documents\New project 2\cardio_no_lab_paper_project\data\coloc_inputs\FGF5_HF_coloc_input_harmonised.csv
LPA,Apolipoprotein(a),AF,Atrial fibrillation,chr6:159668275-161668275 (GRCh38),rs56393506,12482,10607,0,0.4959,0,0.4054,0.0987,rs56393506,6:161089307:C:T:imp:v1,1,1169.75,0.00623,D:\Backup\Documents\New project 2\cardio_no_lab_paper_project\data\coloc_inputs\LPA_AF_coloc_input_harmonised.csv
LPA,Apolipoprotein(a),HF,Heart failure,chr6:159668275-161668275 (GRCh38),rs56393506,12482,6414,0,5.6940e-06,0,0.9604,0.0396,rs56393506,6:161089307:C:T:imp:v1,1,1169.75,1.116e-07,D:\Backup\Documents\New project 2\cardio_no_lab_paper_project\data\coloc_inputs\LPA_HF_coloc_input_harmonised.csv
